filename,workflow_name,on_events,job_name,services,step_names
deploy-development.yml,Deploy to Development,push (branches: main); workflow_dispatch,Deploy to Development,,Checkout code; Setup Dart/Flutter; Get Flutter dependencies; Build Flutter web app; Setup Node.js for Firebase CLI; Install Firebase CLI; Build Firebase Functions; Authenticate to Google Cloud; Deploy to Firebase; Notify success; Notify failure
deploy-production.yml,Deploy to Production,workflow_dispatch (inputs: version/reason/enable_backup_archival),Pre-deployment Checks,,Check deployment window; Check staging smoke tests; Check for open incidents; Check deployment rate limit
deploy-production.yml,Deploy to Production,workflow_dispatch (inputs: version/reason/enable_backup_archival),Deploy to Production,,Log deployment initiation; Checkout code; Setup Node.js; Setup Dart/Flutter; Install dependencies; Load secrets from Doppler; Configure cloud credentials for backup; Database migration (with rollback plan); Create pre-migration database backup (7-year retention); Execute database migration; Deploy application; Run smoke tests; Health check monitoring (15 minutes); Record deployment (7-year retention); Notify team; Emergency rollback; Trigger incident response
deploy-staging.yml,Deploy to Staging,workflow_dispatch (inputs: reason),Deploy to Staging,,Log deployment initiation; Checkout code; Setup Node.js; Setup Dart/Flutter; Install dependencies; Security scan; Load secrets from Doppler; Pre-deployment health check; Run full test suite; Create database backup; Database migration (with rollback on failure); Deploy application; Run smoke tests; Record deployment; Upload deployment audit artifact; Notify QA team; Rollback on failure; Notify failure; Record deployment metadata; Upload deployment metadata; Set deployment outputs; Cleanup artifacts
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",Run QA Test Suite,,Checkout code; Base directory; List files; Check if QA tests should run; Skip QA tests; Detect Docker file changes; Free up disk space; Log in to GitHub Container Registry; Pull pre-built images from GHCR; Free up disk space for build; Set up Docker Buildx; Build and push Docker images to GHCR; Start QA environment; Wait for QA container to be healthy; Prepare repository in QA container; Authenticate with Doppler; Run Flutter unit tests; Upload coverage reports; Comment PR with test results; Cleanup containers; Fail workflow if tests failed
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",Security & Compliance Scan,,Checkout code; Run Trivy vulnerability scanner (filesystem); Run Trivy IaC scanner; Check for Docker images to scan; Log in to GitHub Container Registry; Pull pre-built image from GHCR; Set up Docker Buildx (fallback); Build base image for scanning (fallback); Run Trivy container scanner (base image); Upload Trivy filesystem results; Upload Trivy IaC results; Upload Trivy container results; Generate comprehensive vulnerability report; Upload all scan results as artifacts
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",Flutter/Dart Security Analysis,,Checkout code; Check for Flutter/Dart code; Set up Flutter; Install dependencies; Run Flutter analyze; Check for outdated dependencies; Upload analysis results
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Base Image,,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Determine tag and validate semver; Extract metadata; Build and push flutter-base image
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Sign Images & Generate SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Sign base image; Generate SBOM for base image; Upload SBOMs as artifacts; Attach SBOM attestation to base image
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Verify base image signature
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Summary,,Generate summary
sponsor-portal-ci.yml,Sponsor Portal CI,push (branches: main, paths); pull_request (branches: main, paths),Sponsor Portal CI,,Checkout; Start CI container; Install dependencies; Analyze portal_ui_evs; Run portal_server_evs link/ingest e2e tests; Run portal_ui_evs tests with coverage; Upload portal_ui_evs coverage to Codecov; Cleanup
maintenance-check.yml,Maintenance Check,"schedule (cron: 0 9 1 * *); workflow_dispatch; pull_request (paths)",check-maintenance-status,,Checkout code; Check file modification dates; Check for outdated tool versions; Generate maintenance report; Create issue if maintenance overdue
build-ghcr-containers.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build Base Image,,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Extract metadata; Build and push base image; Tag image for local use; Export local image for downstream jobs; Upload base image artifact
build-ghcr-containers.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build Dev Image,,Free up disk space; Checkout code; Set up Docker Buildx; Download base image (PR only); Load base image (PR only); Log in to GitHub Container Registry; Extract metadata; Build and push dev image; Tag image for local use; Export local image for downstream jobs; Upload dev image artifact
build-ghcr-containers.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build QA Image,,Free up disk space; Checkout code; Set up Docker Buildx; Download base image (PR only); Download dev image (PR only); Load images (PR only); Log in to GitHub Container Registry; Extract metadata; Build and push QA image
build-ghcr-containers.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Sign Images & Generate SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Downcase image prefix; Sign base image; Sign dev image; Sign QA image; Generate SBOM for base image; Generate SBOM for dev image; Generate SBOM for QA image; Upload SBOMs as artifacts; Attach SBOM attestation to base image; Attach SBOM attestation to dev image; Attach SBOM attestation to QA image
build-ghcr-containers.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Downcase image prefix; Verify base image signature; Verify dev image signature; Verify QA image signature
build-ghcr-containers.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build Summary,,Generate summary
test-gcp-auth.yml,Test GCP Authentication with Workload Identity Federation,workflow_dispatch,deploy,,Checkout; Authenticate to Google Cloud; Test the Connection
deploy-run-service.yml,Deploy cloud run service,workflow_dispatch (inputs: service-name/sponsor-env/image_path/version); workflow_call,deploy-cloud-run-service,,Validate service-name; Authenticate with Google Cloud; Translate ghcr.io path to Google Artifact Registry; Configure Docker for Artifact Registry; Validate image exists in Artifact Registry; Deploy to Cloud Run; Display authentication info
build-test.yml,Build and Test,"push (branches: main, release/**); pull_request (branches: main)",test-requirements-tools,,Checkout; Set up Python; Load version configuration; Install elspais; Validate requirement format and IDs; Generate traceability matrix; Upload build reports as artifacts
build-test.yml,Build and Test,"push (branches: main, release/**); pull_request (branches: main)",test-linear-cli-tools,,Checkout; Set up Node.js; Validate Linear API scripts
build-test.yml,Build and Test,"push (branches: main, release/**); pull_request (branches: main)",validate-documentation,,Checkout; Load version pinning; Install markdown linter; Lint markdown files; Check for broken internal links
pr-health.yml,PR Health,"pull_request (any base branch, types: opened/synchronize/reopened/edited); push (branches: main, develop)",Validate PR Title,,Validate PR title carries [CUR-XXX] or [Dependabot] prefix
pr-health.yml,PR Health,"pull_request (any base branch, types: opened/synchronize/reopened/edited); push (branches: main, develop)",Security - Check for Secrets,,Checkout; Install gitleaks (pinned via versions.env); Scan full tree with gitleaks detect
pr-health.yml,PR Health,"pull_request (any base branch, types: opened/synchronize/reopened/edited); push (branches: main, develop)",Security Scan,,Checkout; Run Trivy (vuln + misconfig + secret); Patch SARIF artifact URIs; Upload SARIF to GitHub Code Scanning
pr-health.yml,PR Health,"pull_request (any base branch, types: opened/synchronize/reopened/edited); push (branches: main, develop)",PR Health,,Checkout; Start CI container; Run validate-pr.sh (change detection; version-bump; elspais REQ validation; code/migration headers; doc lint); Upload traceability artifacts; Comment on PR with traceability matrix
pr-health.yml,PR Health,"pull_request (any base branch, types: opened/synchronize/reopened/edited); push (branches: main, develop)",Post-Merge Validation,,Validate squash-merge commit carries [CUR-XXX] reference; Create Linear ticket for non-compliant merges (push to main/develop only)
ci-gate.yml,Validation Summary,"pull_request (branches: main, types: opened/synchronize/reopened/edited)",Validation Summary,,Poll commits/{sha}/check-runs every 30s; aggregate (cancelled=pending, skipped=OK, failure=block); emit step summary; post per-check failure table to PR (single comment, updated in place)
